,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10
Core Technologies,"""ニューラルネット""","""ディープラーニング""","""機械学習""","""AIアルゴリズム""","""ソニー AI""",[ニューラルネット],[ディープラーニング],[機械学習],[AIアルゴリズム],[ソニー AI]
Development Tools,"""ソニーNNC""","""ニューラルネットワーク UI""","""Neural Network Console""","""機械学習ソフト""","""ディープラーニングキット""",[ソニーNNC],[ニューラルネットワーク UI],[Neural Network Console],[機械学習ソフト],[ディープラーニングキット]
Learning Models,"""CNN""","""RNN""","""LSTM""","""GAN""","""転移学習""",[CNN],[RNN],[LSTM],[GAN],[転移学習]
Technical Features,"""AIモデル""","""GPU加速""","""モデル検証""","""パラメータ最適化""","""リアルタイムAI""",[AIモデル],[GPU加速],[モデル検証],[パラメータ最適化],[リアルタイムAI]
Application Domains,"""ヘルスケアAI""","""ロボットAI""","""ファイナンスAI""","""自動車AI""","""小売AI""",[ヘルスケアAI],[ロボットAI],[ファイナンスAI],[自動車AI],[小売AI]
User Interface,"""AI難しい""","""AI勉強""","""AIインターフェース""","""AIプログラミング""","""AIコーディング""",[AI難しい],[AI勉強],[AIインターフェース],[AIプログラミング],[AIコーディング]
Programming and Languages,"""Python AI""","""TensorFlow""","""PyTorch""","""Scikit-Learn""","""Keras""",[Python AI],[TensorFlow],[PyTorch],[Scikit-Learn],[Keras]
Cloud and Systems,"""クラウドAI""","""エッジAI""","""AI GPU""","""分散学習""","""マルチGPU""",[クラウドAI],[エッジAI],[AI GPU],[分散学習],[マルチGPU]
Advanced Technologies,"""量子AI""","""強化学習""","""AI圧縮""","""合成データ""","""AIセキュリティ""",[量子AI],[強化学習],[AI圧縮],[合成データ],[AIセキュリティ]
Educational and Community,"""AIワークショップ""","""AIコース""","""AIコミュニティ""","""AI研究""","""ディープAI""",[AIワークショップ],[AIコース],[AIコミュニティ],[AI研究],[ディープAI]
